Name;Surname;Username;Email alias;Managerial level;Manager;Office;OU Level 1 - Country;OU Level 2 - Office;Password;Groups;Owner of groups
Reid;Kaufman;ReiKau01;Reid.Kaufman@contoso.com;4;RilGil01;San Francisco;United States;San Francisco;Zaq12wsx;Office license,Domain Users,VIP,GroupNo72,GroupNo135;
Cali;Mejia;CalMej01;Cali.Mejia@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo51,GroupNo55,GroupNo136,GroupNo181,GroupNo222;GroupNo31
Marco;Valenzuela;MarVal01;Marco.Valenzuela@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo16,GroupNo49,GroupNo98;
Lukas;Gilmore;LukGil01;Lukas.Gilmore@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP;
Giovanni;Mcintyre;GioMci01;Giovanni.Mcintyre@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo11;
Maleah;Mercado;MalMer01;Maleah.Mercado@contoso.com;4;LanWil01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo152;
Zara;Marquez;ZarMar01;Zara.Marquez@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo9,GroupNo28;
Ezequiel;Love;EzeLov01;Ezequiel.Love@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo106,GroupNo116;
Alexa;Bradshaw;AleBra01;Alexa.Bradshaw@contoso.com;4;RilGil01;San Francisco;United States;San Francisco;Zaq12wsx;Office license,Domain Users,VIP,GroupNo114,GroupNo165;
Genesis;Bright;GenBri01;Genesis.Bright@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,GroupNo90,GroupNo118;
Angela;Caldwell;AngCal01;Angela.Caldwell@contoso.com;4;SerFie01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo131,GroupNo205;
Antonella;Salas;AntSal01;Antonella.Salas@contoso.com;4;SerFie01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo19,GroupNo103;
Kamilah;Sanders;KamSan01;Kamilah.Sanders@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo137,GroupNo203,GroupNo214;
Adriana;Odom;AdrOdo01;Adriana.Odom@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo134,GroupNo215;
Royce;Roach;RoyRoa01;Royce.Roach@contoso.com;4;BaiHam01;Chicago;United States;Chicago;Zaq12wsx;Office license,Domain Users,VIP;
Madeline;Jennings;MadJen01;Madeline.Jennings@contoso.com;4;LanWil01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo58,GroupNo215;
Serenity;Kramer;SerKra01;Serenity.Kramer@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo25,GroupNo156;GroupNo73
Alison;Wood;AliWoo01;Alison.Wood@contoso.com;4;RilGil01;San Francisco;United States;San Francisco;Zaq12wsx;Office license,Domain Users,VIP;
Kamryn;Underwood;KamUnd01;Kamryn.Underwood@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo230;
Marianna;Warren;MarWar01;Marianna.Warren@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP;
Kasen;Frederick;KasFre01;Kasen.Frederick@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo71,GroupNo188,GroupNo221;
Calliope;Beasley;CalBea01;Calliope.Beasley@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,GroupNo61,GroupNo182;GroupNo81
Andi;Banks;AndBan01;Andi.Banks@contoso.com;4;AriCor01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo54,GroupNo149;
Beau;Travis;BeaTra01;Beau.Travis@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo26,GroupNo45,GroupNo64;
Rosalee;Vargas;RosVar01;Rosalee.Vargas@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP;
Summer;Nash;SumNas01;Summer.Nash@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo78,GroupNo126,GroupNo197;
Crew;Holland;CreHol01;Crew.Holland@contoso.com;4;SerFie01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP;
Gloria;Navarro;GloNav01;Gloria.Navarro@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo70,GroupNo119,GroupNo123;
Marcus;Fletcher;MarFle01;Marcus.Fletcher@contoso.com;4;RilGil01;San Francisco;United States;San Francisco;Zaq12wsx;Office license,Domain Users,VIP,GroupNo212,GroupNo221;
Kaysen;Terrell;KayTer01;Kaysen.Terrell@contoso.com;4;KysCun01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,VIP,GroupNo29,GroupNo59;
Lyra;Clarke;LyrCla01;Lyra.Clarke@contoso.com;4;RilGil01;San Francisco;United States;San Francisco;Zaq12wsx;Office license,Domain Users,VIP,GroupNo15;
Tristen;Vinson;TriVin01;Tristen.Vinson@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo19,GroupNo99;
Billy;Shaffer;BilSha01;Billy.Shaffer@contoso.com;4;AriCor01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP;
Finley;Salas;FinSal01;Finley.Salas@contoso.com;4;LanWil01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo119,GroupNo227;
Hadassah;Carr;HadCar01;Hadassah.Carr@contoso.com;4;BaiHam01;Chicago;United States;Chicago;Zaq12wsx;Office license,Domain Users,VIP,GroupNo80,GroupNo182;
Chana;Wells;ChaWel01;Chana.Wells@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo10,GroupNo150;
Andre;Kidd;AndKid01;Andre.Kidd@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,GroupNo32,GroupNo37,GroupNo47,GroupNo120,GroupNo175,GroupNo182;
Ali;Terrell;AliTer01;Ali.Terrell@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo20,GroupNo67,GroupNo215;
Danny;Chandler;DanCha02;Danny.Chandler02@contoso.com;4;LanWil01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo71;
Camden;Hunt;CamHun01;Camden.Hunt@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo47;
Jayde;Golden;JayGol01;Jayde.Golden@contoso.com;4;SerFie01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo114,GroupNo142,GroupNo227;
Lilyana;Trujillo;LilTru01;Lilyana.Trujillo@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo27,GroupNo161,GroupNo203;GroupNo190
Abel;Dalton;AbeDal01;Abel.Dalton@contoso.com;4;BaiHam01;Chicago;United States;Chicago;Zaq12wsx;Office license,Domain Users,VIP,GroupNo152;
Trent;Henderson;TreHen01;Trent.Henderson@contoso.com;4;BaiHam01;Chicago;United States;Chicago;Zaq12wsx;Office license,Domain Users,VIP,GroupNo5,GroupNo91,GroupNo194;
Elias;Yates;EliYat01;Elias.Yates@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo123;
Paige;Owen;PaiOwe01;Paige.Owen@contoso.com;4;SerFie01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP;
Sky;Bishop;SkyBis01;Sky.Bishop@contoso.com;4;KysCun01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,VIP,GroupNo55,GroupNo154;
Lacey;Landry;LacLan01;Lacey.Landry@contoso.com;4;SerFie01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo24,GroupNo107;
Dane;Reid;DanRei01;Dane.Reid@contoso.com;4;LanWil01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo22;
Graham;Mckay;GraMck01;Graham.Mckay@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo13,GroupNo64,GroupNo199;
Cayden;Salazar;CaySal01;Cayden.Salazar@contoso.com;4;BaiHam01;Chicago;United States;Chicago;Zaq12wsx;Office license,Domain Users,VIP,GroupNo74,GroupNo233;
Aron;Quinn;AroQui01;Aron.Quinn@contoso.com;4;AriCor01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP;
Porter;Clemons;PorCle01;Porter.Clemons@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,GroupNo9,GroupNo98,GroupNo142;
Yahya;Cannon;YahCan01;Yahya.Cannon@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo70,GroupNo164;
King;Morgan;KinMor01;King.Morgan@contoso.com;4;KysCun01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,VIP,GroupNo69,GroupNo136;
Esteban;Kinney;EstKin01;Esteban.Kinney@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo60;
Remy;Mcintosh;RemMci01;Remy.Mcintosh@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,GroupNo230,GroupNo234;GroupNo133
Marcellus;Hendricks;MarHen02;Marcellus.Hendricks02@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo38,GroupNo62,GroupNo156;
Archer;Bonner;ArcBon01;Archer.Bonner@contoso.com;4;SerFie01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo2,GroupNo185;
Dario;Holder;DarHol01;Dario.Holder@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo230;
Sterling;Munoz;SteMun01;Sterling.Munoz@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo113,GroupNo172;
Danny;Franklin;DanFra01;Danny.Franklin@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,GroupNo67,GroupNo112,GroupNo152,GroupNo178,GroupNo217,GroupNo218;
Clare;Savage;ClaSav01;Clare.Savage@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,GroupNo10;
Israel;Serrano;IsrSer01;Israel.Serrano@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo199;
Jovanni;Lane;JovLan01;Jovanni.Lane@contoso.com;4;MalMar01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo61,GroupNo205,GroupNo206;
Bailee;Tucker;BaiTuc01;Bailee.Tucker@contoso.com;4;LanWil01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo217;
Mallory;Nguyen;MalNgu02;Mallory.Nguyen02@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo160;
Frida;Barrett;FriBar01;Frida.Barrett@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,GroupNo46,GroupNo60,GroupNo114,GroupNo132,GroupNo147;
Marc;Goodman;MarGoo01;Marc.Goodman@contoso.com;4;MalMar01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo40,GroupNo141;
Levi;Rutledge;LevRut01;Levi.Rutledge@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo95,GroupNo205,GroupNo206,GroupNo209;
Leo;Rosales;LeoRos01;Leo.Rosales@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo33;
Braylee;Moses;BraMos01;Braylee.Moses@contoso.com;4;LanWil01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,HR;
Kellan;Raymond;KelRay01;Kellan.Raymond@contoso.com;4;BaiHam01;Chicago;United States;Chicago;Zaq12wsx;Office license,Domain Users,VIP,GroupNo139;
Lance;Cummings;LanCum01;Lance.Cummings@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo58;
Hank;Velazquez;HanVel01;Hank.Velazquez@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo4;
Ronan;Bright;RonBri01;Ronan.Bright@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo117,GroupNo169,GroupNo207,GroupNo211;
Ryleigh;Wiggins;RylWig01;Ryleigh.Wiggins@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo167;
Greyson;Bennett;GreBen01;Greyson.Bennett@contoso.com;4;RivPad01;London;England;London;Zaq12wsx;Office license,Domain Users,VIP,GroupNo45,GroupNo113,IT Support;
Eli;Madden;EliMad01;Eli.Madden@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,GroupNo116,GroupNo139;
Journi;Collier;JouCol01;Journi.Collier@contoso.com;4;LanWil01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP;
Paige;Franco;PaiFra01;Paige.Franco@contoso.com;4;RilGil01;San Francisco;United States;San Francisco;Zaq12wsx;Office license,Domain Users,VIP,GroupNo77,GroupNo199;
Julianna;William;JulWil01;Julianna.William@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP;
Jolie;Witt;JolWit01;Jolie.Witt@contoso.com;4;MalMar01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP;
Miguel;Carey;MigCar01;Miguel.Carey@contoso.com;4;MalMar01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo68,GroupNo96;
Kenzo;Schwartz;KenSch01;Kenzo.Schwartz@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP;
Fernanda;Knight;FerKni01;Fernanda.Knight@contoso.com;4;MalMar01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo198,GroupNo201,GroupNo210,GroupNo212,GroupNo213,GroupNo226;
Aidan;Mckee;AidMck01;Aidan.Mckee@contoso.com;4;RydSut01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,VIP,GroupNo64,GroupNo218,Domain Users;
Rowan;Schwartz;RowSch01;Rowan.Schwartz@contoso.com;4;KysCun01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,VIP,GroupNo201;
Mikaela;Erickson;MikEri01;Mikaela.Erickson@contoso.com;4;KysCun01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,VIP,GroupNo47,GroupNo134;
Brantley;Pratt;BraPra01;Brantley.Pratt@contoso.com;4;KysCun01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,VIP,GroupNo92,GroupNo172,GroupNo180,GroupNo191;
Griffin;Flynn;GriFly01;Griffin.Flynn@contoso.com;4;MalMar01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo37,GroupNo48,GroupNo151,GroupNo227;
Lincoln;Castillo;LinCas01;Lincoln.Castillo@contoso.com;4;AriCor01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo3,GroupNo5,GroupNo22,GroupNo105,GroupNo133,GroupNo211;
Ari;Morgan;AriMor02;Ari.Morgan02@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo99;
Harlow;Cortez;HarCor01;Harlow.Cortez@contoso.com;4;SerFie01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo116,GroupNo117,GroupNo173;
Jovanni;Cantrell;JovCan01;Jovanni.Cantrell@contoso.com;4;AriCor01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo134,GroupNo165;
Collins;Wyatt;ColWya01;Collins.Wyatt@contoso.com;4;KysCun01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,VIP,GroupNo70;
Tomas;Carney;TomCar01;Tomas.Carney@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo21;
Malakai;Sampson;MalSam01;Malakai.Sampson@contoso.com;4;BaiHam01;Chicago;United States;Chicago;Zaq12wsx;Office license,Domain Users,VIP,GroupNo216;
Odin;Glenn;OdiGle01;Odin.Glenn@contoso.com;4;AriCor01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo85,GroupNo145;
Evelynn;Sandoval;EveSan01;Evelynn.Sandoval@contoso.com;4;SerFie01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo24,GroupNo91;
Kiera;Keith;KieKei01;Kiera.Keith@contoso.com;4;MalMar01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo14,GroupNo91,GroupNo100,GroupNo130,GroupNo212,Domain Users;
Derrick;Stuart;DerStu01;Derrick.Stuart@contoso.com;4;LanWil01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo131;
Saige;Flynn;SaiFly01;Saige.Flynn@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo20,GroupNo113,GroupNo117,GroupNo118,GroupNo119,GroupNo219;
Morgan;Chavez;MorCha01;Morgan.Chavez@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP;
Bentley;Hughes;BenHug01;Bentley.Hughes@contoso.com;4;EnzMck01;New York;United States;New York;Zaq12wsx;Office license,Domain Users,VIP,GroupNo44;
Florence;Hanson;FloHan01;Florence.Hanson@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo28,Developers;
Jesse;Caldwell;JesCal01;Jesse.Caldwell@contoso.com;4;BraMoo01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo1,GroupNo19,GroupNo85,GroupNo95,GroupNo175;
Jerome;Potter;JerPot01;Jerome.Potter@contoso.com;4;AriCor01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,VIP,GroupNo2,GroupNo21;
Holland;Hammond;HolHam01;Holland.Hammond@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo59,GroupNo101;
Jaelyn;Schultz;JaeSch01;Jaelyn.Schultz@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo61,GroupNo101,GroupNo112;
Yahir;Jimenez;YahJim01;Yahir.Jimenez@contoso.com;4;RilGil01;San Francisco;United States;San Francisco;Zaq12wsx;Office license,Domain Users,VIP,GroupNo148,GroupNo156,GroupNo231;
Major;Rojas;MajRoj01;Major.Rojas@contoso.com;4;MalMar01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo144,GroupNo187,GroupNo227;
Taylor;Mclean;TayMcl01;Taylor.Mclean@contoso.com;4;MalMar01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo104,GroupNo123,GroupNo228;
Arturo;Branch;ArtBra01;Arturo.Branch@contoso.com;4;SerFie01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,VIP,GroupNo166;
Jaxton;Salinas;JaxSal01;Jaxton.Salinas@contoso.com;4;JulBoy01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo51,GroupNo164;
Louise;Franklin;LouFra01;Louise.Franklin@contoso.com;4;BaiHam01;Chicago;United States;Chicago;Zaq12wsx;Office license,Domain Users,VIP;
Kingston;Mclaughlin;KinMcl01;Kingston.Mclaughlin@contoso.com;4;MalMar01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,VIP,GroupNo67,GroupNo96;
Damien;Mathis;DamMat01;Damien.Mathis@contoso.com;5;ReiKau01;San Francisco;United States;San Francisco;Zaq12wsx;Office license,Domain Users,GroupNo79;
Maryam;Bright;MarBri01;Maryam.Bright@contoso.com;5;DanCha02;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,GroupNo109,GroupNo118,GroupNo141;
Ephraim;Owen;EphOwe01;Ephraim.Owen@contoso.com;5;LevRut01;London;England;London;Zaq12wsx;Office license,Domain Users,GroupNo19,GroupNo71,GroupNo160;
Anaya;Christensen;AnaChr01;Anaya.Christensen@contoso.com;5;JayGol01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,GroupNo2,GroupNo134;
Kristopher;Pacheco;KriPac01;Kristopher.Pacheco@contoso.com;5;KinMcl01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,GroupNo53,GroupNo123,GroupNo185;
Aliyah;Gibbs;AliGib01;Aliyah.Gibbs@contoso.com;5;LacLan01;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users;
Rhett;Mayer;RheMay01;Rhett.Mayer@contoso.com;5;GriFly01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users;
Maximiliano;Harrington;MaxHar01;Maximiliano.Harrington@contoso.com;5;DanCha02;Dallas;United States;Dallas;Zaq12wsx;Office license,Domain Users,GroupNo56,GroupNo113,GroupNo141;
Aden;Powell;AdePow01;Aden.Powell@contoso.com;5;MarWar01;Vancouver;Canada;Vancouver;Zaq12wsx;Office license,Domain Users,GroupNo114,GroupNo210;
Winston;Mcknight;WinMck01;Winston.Mcknight@contoso.com;5;ColWya01;Bristol;England;Bristol;Zaq12wsx;Office license,Domain Users,GroupNo102,GroupNo106,GroupNo125,GroupNo204;
Maleah;Torres;MalTor01;Maleah.Torres@contoso.com;5;MajRoj01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,GroupNo80,GroupNo130,GroupNo152;
Merrick;Buckner;MerBuc01;Merrick.Buckner@contoso.com;5;MajRoj01;Ottawa;Canada;Ottawa;Zaq12wsx;Office license,Domain Users,GroupNo120;
Zeke;Cooley;ZekCoo01;Zeke.Cooley@contoso.com;5;RemMci01;Mombai;India;Mombai;Zaq12wsx;Office license,Domain Users,GroupNo188,GroupNo217;
Ayden;Hendrix;AydHen01;Ayden.Hendrix@contoso.com;5;BenHug01;New York;United States;New York;Zaq12wsx;Office license,Domain Users;GroupNo223
